               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058068,            0.053019,            0.049568,             0.48311,              0.5915,             0.60796,             0.34947,            0.030985,            0.022433,            0.031542,            0.070181,           0.0033133,           0.0033133
                   1,            0.043696,            0.038421,            0.027712,             0.65934,             0.90624,             0.90629,             0.57755,            0.030454,            0.018794,            0.013791,            0.038865,           0.0053306,           0.0053306
                   2,            0.039467,            0.035805,            0.013637,             0.65855,             0.95931,             0.92326,             0.60914,            0.029323,            0.017146,           0.0076351,           0.0062287,           0.0060279,           0.0060279
                   3,            0.029912,            0.032295,           0.0086045,             0.97015,             0.98057,             0.97858,             0.73279,            0.020633,            0.015777,            0.005591,             0.00406,             0.00406,             0.00406
                   4,            0.027495,            0.031693,           0.0069486,             0.97883,             0.98384,             0.98011,             0.78682,            0.018346,            0.015355,           0.0037642,             0.00406,             0.00406,             0.00406
