               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05848,            0.054484,            0.046926,             0.40805,             0.65957,             0.64589,             0.31345,            0.037557,            0.021147,            0.024049,            0.070181,           0.0033133,           0.0033133
                   1,            0.042849,             0.03784,            0.022368,             0.92489,             0.59434,             0.83233,             0.51614,            0.035809,             0.01825,            0.012387,            0.038865,           0.0053306,           0.0053306
                   2,            0.038322,            0.035271,            0.012883,             0.68434,              0.8596,              0.8254,             0.55798,            0.033307,            0.017395,           0.0083889,           0.0062287,           0.0060279,           0.0060279
                   3,            0.029241,            0.031578,           0.0087966,             0.96344,              0.9773,             0.97762,             0.79115,            0.017452,             0.01523,           0.0051754,             0.00406,             0.00406,             0.00406
                   4,            0.026739,            0.030967,           0.0068509,             0.97469,             0.98355,             0.98049,             0.77575,            0.015933,            0.014986,           0.0039339,             0.00406,             0.00406,             0.00406
