               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044372,            0.058429,            0.017331,             0.70275,             0.64886,             0.71695,             0.47873,            0.040682,            0.036636,           0.0094698,              0.0937,              0.0007,              0.0007
                   1,            0.045068,             0.06342,            0.015659,             0.70049,              0.6699,             0.73328,             0.48508,            0.040309,            0.036092,           0.0086955,            0.086203,            0.001203,            0.001203
                   2,             0.04326,            0.063673,            0.015529,             0.78941,              0.6326,             0.75059,              0.5024,             0.04007,            0.035704,           0.0082768,            0.078389,           0.0013892,           0.0013892
                   3,            0.045003,            0.059125,            0.015714,              0.7942,             0.64645,             0.76098,             0.51207,            0.039617,            0.035422,           0.0079429,            0.070259,           0.0012586,           0.0012586
                   4,             0.04444,            0.063708,            0.015086,             0.79673,             0.65359,             0.76376,             0.51732,            0.039285,            0.035121,           0.0076545,            0.061811,           0.0008112,           0.0008112
