               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044372,            0.058429,            0.017331,             0.70275,             0.64886,             0.71695,             0.47873,            0.040682,            0.036636,           0.0094698,              0.0937,              0.0007,              0.0007
                   1,            0.045075,            0.063476,            0.015702,             0.70437,             0.66976,             0.73169,             0.48408,            0.040334,            0.036141,           0.0087807,            0.086005,            0.001005,            0.001005
                   2,            0.043334,            0.063968,            0.015726,              0.7455,             0.64214,             0.74035,             0.49581,            0.040076,            0.035875,           0.0084964,            0.077782,            0.000782,            0.000782
